"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"INSCRIPCION INICIAL NACIONAL","2024-09-23","2024-09-23",1186,"MORENO Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","MORENO","BUENOS AIRES","No aplica","1991","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-23","2024-09-23",1186,"MORENO Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","MORENO","BUENOS AIRES","No aplica","1991","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-18","2024-09-18",1180,"CAMPANA Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","CAMPANA","BUENOS AIRES","No aplica","2014","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-27","2024-09-27",1186,"MORENO Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FM","AT530S36TYPA85","1","Privado","Jurídica","GENERAL GUEMES","BUENOS AIRES","No aplica","2008","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-13","2024-09-13",1162,"OLAVARRIA Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FN","AS600S44TYPA85","1","Privado","Jurídica","HINOJO","BUENOS AIRES","No aplica","2004","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-23","2024-09-23",1186,"MORENO Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","MORENO","BUENOS AIRES","No aplica","1991","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-11","2024-09-11",1162,"OLAVARRIA Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FN","AS600S44TYPA85","1","Privado","Jurídica","HINOJO","BUENOS AIRES","No aplica","2004","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-09","2024-09-09",1162,"OLAVARRIA Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FB","460S36TLA14","1","Privado","Física","OLAVARRÍA","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2024-09-04","2024-09-04",1150,"AVELLANEDA Nº 3","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FN","AS600S44TYPA85","1","Privado","Jurídica","AVELLANEDA","BUENOS AIRES","No aplica","2015","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-13","2024-09-13",1162,"OLAVARRIA Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FN","AS600S44TYPA85","1","Privado","Jurídica","HINOJO","BUENOS AIRES","No aplica","2004","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-20","2024-09-20",1181,"TRES DE FEBRERO Nº 4","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FF","170E28TLM21","1","Privado","Jurídica","CIUDADELA","BUENOS AIRES","No aplica","2016","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-23","2024-09-23",1186,"MORENO Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","MORENO","BUENOS AIRES","No aplica","1991","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-30","2024-09-30",1186,"MORENO Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FN","AS600S44TYPA85","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","BUENOS AIRES","No aplica","2020","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-12","2024-09-12",1180,"CAMPANA Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","CAMPANA","BUENOS AIRES","No aplica","2014","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-19","2024-09-19",1186,"MORENO Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FF","170E28TLM21","1","Privado","Jurídica","MORENO","BUENOS AIRES","No aplica","2017","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-30","2024-09-30",1186,"MORENO Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FN","AS600S44TYPA85","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","BUENOS AIRES","No aplica","2020","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-30","2024-09-30",1186,"MORENO Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FV","AS490S44TPA14","1","Privado","Jurídica","HAEDO-EL PALOMAR","BUENOS AIRES","No aplica","2006","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-18","2024-09-18",1189,"FLORENCIO VARELA Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Física","FLORENCIO VARELA","BUENOS AIRES","Femenino","1980","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2024-09-18","2024-09-18",1220,"AVELLANEDA Nº 6","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Física","AVELLANEDA","BUENOS AIRES","Masculino","1964","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2024-09-03","2024-09-03",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Física","LAFERRERE","BUENOS AIRES","Femenino","1983","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2024-09-17","2024-09-17",1189,"FLORENCIO VARELA Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Física","FLORENCIO VARELA","BUENOS AIRES","Masculino","1998","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2024-09-24","2024-09-24",1193,"LUJAN Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Física","LUJAN","BUENOS AIRES","Masculino","1984","ARGENTINA",100,"06","ARG"
"INSCRIPCION INICIAL NACIONAL","2024-09-23","2024-09-23",1188,"LA PLATA Nº 07","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","CH","450C33T MLL","1","Privado","Jurídica","LA PLATA","BUENOS AIRES","No aplica","2015","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-24","2024-09-24",1187,"JUNIN Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","JUNIN","BUENOS AIRES","No aplica","2007","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-24","2024-09-24",1187,"JUNIN Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","JUNIN","BUENOS AIRES","No aplica","2007","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-30","2024-09-30",1187,"JUNIN Nº 2","Buenos Aires","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","FF","170E28TLM21","1","Privado","Jurídica","JUNIN","BUENOS AIRES","No aplica","2008","No aplica",100,"06",""
"INSCRIPCION INICIAL NACIONAL","2024-09-30","2024-09-30",17011,"SALTA Nº 7","Salta","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","67","IVECO","CN","600S44TLA15","1","Privado","Física","LA SILLETA","SALTA","Masculino","1963","ARGENTINA",100,"66","ARG"
"INSCRIPCION INICIAL NACIONAL","2024-09-05","2024-09-05",17005,"SAN MARTIN (TARTAGAL)","Salta","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Física","TARTAGAL","SALTA","Femenino","1981","ARGENTINA",100,"66","ARG"
"INSCRIPCION INICIAL NACIONAL","2024-09-25","2024-09-25",17009,"SALTA Nº 5","Salta","Nacional","2024","94","TRACTOR C/ CABINA DORMITORIO","29","MERCEDES BENZ","GM","958 ATEGO 1729 S 36 CD TE","1","Privado","Jurídica","SALTA","SALTA","No aplica","2009","No aplica",100,"66",""
